message,sentiment,interactionRate,pageName,likes,comments,shares,type,createTime
Nantucket Dubbed ‘Best Island In The World’ By National Geographic,1,9.8888,Cisco Brewers Nantucket,1473,85,390,Link,02/29/2016 21:41:30
We will be pouring at this fine event this Saturday evening.,1,0.5203,Independent Fermentations Brewing,5,0,0,Link,02/29/2016 21:35:55
We will be pouring at this fine event this Saturday evening.,0,0.2081,Independent Fermentations Brewing,2,0,0,Link,02/29/2016 21:35:19
We will be pouring at this fine event this Saturday evening.  Join us and help end cancer in kids.,0,0,Independent Fermentations Brewing,0,0,0,Link,02/29/2016 21:34:45
We're brewing 155 gallons of coffee for our collaboration with George Howell Coffee tomorrow! To celebrate we're serving free pours of the same Ethiopian Reko coffee that will be used in the beer from 11-12 in our tap room tomorrow.,0,0.1635,Mystic Brewery,8,0,0,Photo,02/29/2016 21:25:15
"Beara Nation - Vote! #nhbeer #brewnh #stpattysday #saintpatricksday #bostonirish #shamrock

http://www.wmur.com/entertainment/viewers-choice/what-is-the-best-irish-pub-in-new-hampshire/38194522#.VtMkPDDPFGI.facebook",0,0.2217,Beara Irish Brewing Co.,3,0,1,Link,02/29/2016 21:01:03
"ANOTHER NEW RELEASE!  Our IPA will be on tap on Friday, 3/5!  Stop by our tasting room for a fill!  

Also on tap: Oatmeal Stout, Cream Ale, Pale Ale, Brown Ale and
22oz Bombers of our Bourbon Barrel Aged Bock.

Some upcoming events:
Friday, 3/5: Beer Festival at the Guilford Art Center (Buy Tickets in Advance at Guilford Art Center)

Wednesday, 3/9: Tap Take Over at KC's Restaurant & Pub, Guilford

Friday, 3/18: Paint & Pint Night at DuVig -- sign up online at http://www.duvig.com/events",0,0.2493,DuVig Brewing Company,2,0,3,Photo,02/29/2016 20:47:07
"Namaste & Drink a Beer
$15 includes a pint.
It's yoga. It's craft beer. It's awesome.
6pm at the creek.",0,0.0506,Stony Creek Beer,4,0,0,Photo,02/29/2016 20:32:07
"Well, safe to say you guys killed it this weekend. 3 out of 4 kicked, well done. Winter Sol and a fresh batch of Free Range IPA on for this Saturday. See you from 1-4.  And bring your 750s and/or 1 liters. You guy kicked those also and delivery won't be here until next week.",1,0.5467,Tilted Barn Brewery,14,7,0,Photo,02/29/2016 20:25:32
There is still a limited number of tickets available for this awesome event! Join Scott this Friday as he guides you through this magical culinary / brew pairing experience!,0,0,Thomas Hooker Brewery,0,0,0,Event,02/29/2016 19:50:59
"We're Hiring!  Full Time Year Round Sales & Distribution Manager.  Must have sales management experience, knowledge of Cape Cod and craft beer industry. Link below!",0,0.1973,Cape Cod Beer,18,1,8,Link,02/29/2016 19:48:27
"Can't get that Willie Nelson song ""on the road again"" out of our heads... Our new brewhouse left San Diego last Friday... this is the view before it pulled out!  Cheers to Will at PREMIER STAINLESS SYSTEMS for the photos.. Wish we could track the truck! #justalittleexcited #cantwait #4days #brewerywithoutabrewery #capecod",0,0.2704,Cape Cod Beer,29,6,2,Photo,02/29/2016 19:17:30
"Now offering Staff-Crafted Flights! To help guide you through the thicket of beers on tap, we’ve added two flights handpicked by our bartenders. First up:

Derek’s Cornerstone - Cape Codder, Whirlpool, Trifecta, & El Lechedor
Kevin’s Around the World - Pfaffenheck, Maracuya, Bennington, & Santilli

Ask our bartenders for more details!",0,0.1442,Night Shift Brewing,20,2,0,Photo,02/29/2016 19:00:00
"We're taking over the taps at Buskers Irish Pub and Restaurant, just in time for St. Patrick's Day and the 60th Annual Newport Saint Patrick's Day Parade!Stop into Buskers during the month of March and grab a Storm brew. They're currently serving up our India Point Ale, Hurricane Amber Ale, Spring Irish Red Ale (of course) and a Limited Release tap. Rumor has it our Annual Release '15 is on and once that kicks it will be Smoke RIng, but you'll just have to stop in and find out for yourself! #stpats60",0,0.0274,Newport Storm Beer,4,0,0,Photo,02/29/2016 18:52:01
"Tonight's blackboard! And it's industry night, 40% off your tab if you work in the service industry! #industrynight #nhbeer",0,0.1045,7th Settlement Brewery,3,2,1,Photo,02/29/2016 18:44:47
"Welcome back Monday! Today's special is a Lebanese chicken Shwarma  Sandwich.  Our soup is an amazing Curry, Corn rice Thai soup! Don't forget tonight is Geeks Who Drink!  Come have a beer (or more) and play some trivia!  CHEERS!!",0,0.0942,"BricktownE Brewing Company ""The Barrel House""",2,0,0,Photo,02/29/2016 18:23:35
2014 @andrewfosterphoto throwback. #brewing #beer with @doeboy666 #farmhousebrewery #grain #malt #barley #wheat #mashtun #handmade #madeinmaine #maine #mainebeer,0,0.2266,Oxbow Brewing Company,20,1,0,Photo,02/29/2016 18:14:10
Getting the troops ready for our tap takeover at Cask & Vine tomorrow!,1,3.5618,Rockingham Brewing Company,45,7,1,Photo,02/29/2016 18:02:11
,1,4.6768,Shackett's Brewing Company,30,3,1,Photo,02/29/2016 17:37:42
We need your help! If we were to add a 4th year-round to our existing beer portfolio; what style would you recommend?,1,0.7796,Baxter Brewing Co.,16,77,3,Status,02/29/2016 17:35:42
"Sitting in Biederman's having a Pasquaney Bay IPA.  Just dropped off a Peaked Hill Imperial Porter.  At 7.8% ABV, get a DD when this one goes online.",1,2.2008,Shackett's Brewing Company,15,1,0,Status,02/29/2016 17:26:35
We've got a Steampipe announcement we CAN't wait to share with you!,0,0.2971,Otter Creek Brewing,119,14,11,Photo,02/29/2016 17:11:00
$5 Second Fiddle drafts & $4 IPAs at Tilt Classic Arcade and Ale House tonight!,0,0.2231,Fiddlehead Brewing Company,33,0,2,Photo,02/29/2016 16:56:05
"Decanting and tasting our wild yeast propagations. Winooski spontaneous, Winooski wild grapes, VT grown plums, Prairie Star grapes from Shelburne Vineyard, peaches from PA, plus two sourdough levain strains. #gottahavethatfunk #wildyeast #winooskiwild",1,1.6046,Four Quarters Brewing,65,8,2,Photo,02/29/2016 16:53:06
Well ain't that a beauty! #happyMonday #fromthetopofthetanks #aharddayofbrewing #wellworththisview #lewistonME #drinklocal,0,0.3086,Baxter Brewing Co.,38,0,0,Photo,02/29/2016 16:50:48
It's THAT kind of Monday.,0,0.2941,Long Trail Brewing,207,9,8,Photo,02/29/2016 16:30:01
Burger of the Week :: Hellfire Burger :: Angus Beef Patty / Lettuce / Tomato / Guacamole / Pepperjack Cheese / Fresh Jalapeños / Sriracha Drizzle 🍺🍔🌶🔥,0,0.0704,Sebago Brewing Company,9,0,0,Photo,02/29/2016 16:25:18
"This is going to be an awesome night. If you live in Central Mass, come check this out!",0,0.0171,Foolproof Brewing Company,1,0,0,Link,02/29/2016 16:21:55
"Come hang out with Dave and Tom at Pizza J tonight around 6.  We'll be tapping nitro Broze, and stuffing our faces.",1,0.5188,Proclamation Ale Company,17,0,0,Status,02/29/2016 15:50:38
"Our first ever raffle winner is Frank Johnson, congrats! 
Prize: New City Brewery t-shirt, growler, and coasters! 

Stay tuned for the next raffle, and photos of the amazing merch package.",0,0.2667,New City Brewery,6,0,0,Status,02/29/2016 15:39:04
"2 polar opposites getting ready for the weekend.  Process/Progress 2, QUAD dry-hopped oatmeal IPA (yes, that's real stupid) 6.5% abv with Equinox and Centennial.  Also, on the other end, Burgess, a one off, straight up ESB, with all English malt/hops/yeast.  Slight hop profile, with nice caramel/toast.  (Yes, an ESB) both will be on at some point in the weekend.  Hoping for Thursday.  Keep you posted.  #craftbeer #ipa #hops #oneoff #tastingroom #quadhop #proclamationale #ribeer #rilocal #401craftfamily",1,2.6854,Proclamation Ale Company,67,16,5,Photo,02/29/2016 15:33:53
"Did you know that we are a sponsor for this year's Brew Woo? Get your tickets now, it is going to be a blast! Cheers...hope to see you there.",0,0.0216,Wachusett Brewing Company,4,0,0,Photo,02/29/2016 15:30:09
"An extra day to drinking beer? Sure okay. Do we get to have an extra beer, too?",0,0.0038,Magic Hat Brewing Company,10,0,0,Status,02/29/2016 15:28:00
"Never a dull moment!  Our beers for Hunahpu’s Day® 2016 are en route, brewing up two new beers for our 'Concessions of Clarity' series today including a couple of fun twists, enjoying the sunshine and rain of today once I actually opened the door, and cleaning out way too many mangos and an inordinate amount of lychee from the Auroral tank. :D",1,0.9848,Deciduous Brewing Company,28,4,3,Status,02/29/2016 15:20:51
This week in the tasting room we have the Up A Creek comedy show on Wednesday. Nordri is now available on draft and will be released in cans on Sunday.,0,0.0591,Banded Horn Brewing Co.,4,0,0,Status,02/29/2016 15:07:27
Foolproof is excited to announce a new partnership with Backlash Beer Co. They had a great write-up in the Boston Globe today!,0,0.4114,Foolproof Brewing Company,24,0,0,Link,02/29/2016 15:04:15
Cheers to an extra day in the year to enjoy a Traveler!,0,0.0396,Traveler Beer Company,17,4,1,Photo,02/29/2016 15:04:00
